"age_group","transmission","so_luong","xac_suat_ket_hop","xac_suat_ket_hop_pct"
"0-3 nam","Số sàn",278,0.0125700850063303,"1.26%"
"4-7 nam","Số sàn",823,0.0372128775547115,"3.72%"
"8-12 nam","Số sàn",1098,0.0496473141616929,"4.96%"
"Tren 12 nam","Số sàn",1352,0.061132211973232,"6.11%"
"0-3 nam","Tự động",4818,0.217851329354314,"21.79%"
"4-7 nam","Tự động",7481,0.33826189184301,"33.83%"
"8-12 nam","Tự động",4020,0.181768855127509,"18.18%"
"Tren 12 nam","Tự động",2246,0.101555434979201,"10.16%"
