"age_group","so_luong","ty_le","ty_le_pct"
"4-7 nam",8304,0.375474769397721,"37.55%"
"8-12 nam",5118,0.231416169289202,"23.14%"
"0-3 nam",5096,0.230421414360644,"23.04%"
"Tren 12 nam",3598,0.162687646952433,"16.27%"
