"fuel_type","so_luong","ty_le","ty_le_pct"
"Xăng",17058,0.771296798697775,"77.13%"
"Dầu",3936,0.177970699945741,"17.8%"
"Điện",833,0.0376650388858745,"3.77%"
"Hybrid",289,0.0130674624706095,"1.31%"
