"bien","so_luong","trung_binh","trung_vi","nho_nhat","lon_nhat","phuong_sai","do_lech_chuan"
"price",4455,1261791021.32435,7.05e+08,2.8e+07,3.3999e+10,2638409140197766656,1624318053.89147
"mileage",4455,55776.8222222222,50000,0,480000,2235237243.08604,47278.2956871971
"year",4455,2019.63322109989,2021,1990,2026,20.2129957964115,4.49588654176364
"age",4455,6.36677890011223,5,0,36,20.2129957964115,4.49588654176364
