"transmission","fuel_type","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"Số sàn","Xăng",2603,3551,0.733032948465221,"73.3%"
"Số sàn","Dầu",944,3551,0.265840608279358,"26.58%"
"Số sàn","Hybrid",3,3551,0.000844832441565756,"0.08%"
"Số sàn","Điện",1,3551,0.000281610813855252,"0.03%"
"Tự động","Xăng",14455,18565,0.778615674656612,"77.86%"
"Tự động","Dầu",2992,18565,0.161163479666038,"16.12%"
"Tự động","Điện",832,18565,0.0448155130622138,"4.48%"
"Tự động","Hybrid",286,18565,0.015405332615136,"1.54%"
