"age_group","transmission","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"0-3 nam","Tự động",4818,5096,0.945447409733124,"94.54%"
"0-3 nam","Số sàn",278,5096,0.054552590266876,"5.46%"
"4-7 nam","Tự động",7481,8304,0.900891136801541,"90.09%"
"4-7 nam","Số sàn",823,8304,0.0991088631984586,"9.91%"
"8-12 nam","Tự động",4020,5118,0.78546307151231,"78.55%"
"8-12 nam","Số sàn",1098,5118,0.21453692848769,"21.45%"
"Tren 12 nam","Tự động",2246,3598,0.624235686492496,"62.42%"
"Tren 12 nam","Số sàn",1352,3598,0.375764313507504,"37.58%"
