"transmission","is_high_price","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"Số sàn","FALSE",3486,3551,0.981695297099409,"98.17%"
"Số sàn","TRUE",65,3551,0.0183047029005914,"1.83%"
"Tự động","FALSE",13059,18565,0.703420414758955,"70.34%"
"Tự động","TRUE",5506,18565,0.296579585241045,"29.66%"
