"transmission","so_luong","trung_binh","trung_vi","nho_nhat","lon_nhat","phuong_sai","do_lech_chuan"
"Tự động",18565,885818221.91806,5.59e+08,5e+07,1.5e+10,1422653029657859072,1192750195.83225
"Số sàn",3551,278447324.462124,2.4e+08,5e+07,3.599e+09,38821629414339488,197032051.743719
