"bien_co","so_luong","xac_suat","xac_suat_pct"
"P(Tự động)",18565,0.839437511304033,"83.94%"
"P(Số sàn)",3551,0.160562488695967,"16.06%"
"P(CVT)",0,0,"0%"
"P(Gia cao >= Q75)",5571,0.251899077590884,"25.19%"
"P(Mileage cao >= Q75)",5546,0.250768674262977,"25.08%"
"P(Xe moi 0-3 nam)",5096,0.230421414360644,"23.04%"
"P(Xe tren 12 nam)",3598,0.162687646952433,"16.27%"
