brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
MITSUBISHI,TRITON,,2022,,Dầu,Tự động,,5,,479000000,69700,,,Đồng Tháp,11-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-thap-muoi-dong-thap/132873524.htm
SUZUKI,ERTIGA,GLX 1.5 AT,2019,MPV,Xăng,Tự động,,7,,355000000,90000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/132897789.htm
FORD,RANGER,,2026,Bán tải,Dầu,Tự động,,5,,1039000000,,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/132897768.htm
VINFAST,VF6,,2026,SUV,Điện,Tự động,,5,,580000000,,Trong nước,,Tp Hồ Chí Minh,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/132213234.htm
BMW,DÒNG KHÁC,320i Sport Line,2025,,Xăng,Tự động,,,,1339000000,24000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132892103.htm
TOYOTA,RAIZE,,2022,,Xăng,Tự động,,,,450000000,36000,,,Cần Thơ,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-ninh-kieu-can-tho/132414034.htm
VINFAST,VF5,,2026,Hatchback,Điện,Tự động,,5,,431000000,,Trong nước,,Tp Hồ Chí Minh,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/121722327.htm
BMW,3 SERIES,320i,2016,Sedan,Xăng,Tự động,0.18,4,RWD,515000000,61000,Nhập khẩu,,Thừa Thiên Huế,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-hue-thua-thien-hue/130071553.htm
KIA,CARENS,1.5G Luxury,2023,MPV,Xăng,Tự động,,7,,568000000,25000,Trong nước,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132897733.htm
MERCEDES BENZ,C CLASS,C200 Avantgarde,2022,Sedan,Xăng,Tự động,,5,,1059000000,40000,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132763566.htm
VINFAST,FADIL,,2019,,Xăng,Tự động,,5,,239000000,,Trong nước,,Tp Hồ Chí Minh,06-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/132774974.htm
MERCEDES BENZ,GLC,300 4Matic Coupe,2022,SUV,Xăng,Tự động,,5,,1950000000,13000,Nhập khẩu,,Tp Hồ Chí Minh,24-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132520403.htm
VINFAST,LIMO GREEN,,2025,SUV,Điện,Tự động,,7,,630000000,,Trong nước,,Tp Hồ Chí Minh,15-03-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/130164712.htm
VINFAST,LIMO GREEN,,2026,SUV,Điện,Tự động,,7,,689000000,,Trong nước,,Hà Nội,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/130918456.htm?ad_delivery=true&event_source=ad_list
VINFAST,VF5,,2025,,Điện,Tự động,,5,,445000000,,Trong nước,,Tp Hồ Chí Minh,28-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/131107906.htm
VINFAST,DÒNG KHÁC,,2025,SUV,Điện,Tự động,,7,,681000000,,Trong nước,,Tp Hồ Chí Minh,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/123549450.htm
HAVAL,H6,HEV,2023,SUV,Hybrid,Tự động,,5,,690000000,,Nhập khẩu,,Quảng Ninh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-ha-long-quang-ninh/132518917.htm
PEUGEOT,5008,,2022,SUV,Xăng,Tự động,,7,,840000000,28000,,,Tp Hồ Chí Minh,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132319694.htm
TOYOTA,COROLLA CROSS,1.8V,2022,SUV,Xăng,Tự động,,5,,690000000,50500,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/132897676.htm
