"age_group","transmission","so_luong","tong_nhom","xac_suat","xac_suat_pct"
"0-3 nam","Automatic",1236,1264,0.977848101265823,"97.78%"
"0-3 nam","Manual",28,1264,0.0221518987341772,"2.22%"
"4-7 nam","Automatic",1726,1796,0.961024498886414,"96.1%"
"4-7 nam","Manual",70,1796,0.0389755011135857,"3.9%"
"8-12 nam","Automatic",895,989,0.904954499494439,"90.5%"
"8-12 nam","Manual",94,989,0.0950455005055612,"9.5%"
"Tren 12 nam","Automatic",337,406,0.830049261083744,"83%"
"Tren 12 nam","Manual",69,406,0.169950738916256,"17%"
