"brand","model","trim","year","body_type","fuel_type","transmission","engine_size","seat_count","drivetrain","price","mileage","origin","color","city","posted_date","source","url","price_raw","price_scale","age","age_group","is_high_price","is_high_mileage"
"HYUNDAI","TUCSON","TURBO HTRAC ĐẶC BIỆT",2025,"Crossover","Xăng","Automatic","1.6","5","AWD - 4 bánh toàn thời gian",8.99e+08,20000,"Lắp ráp trong nước","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-hyundai-tucson-1.6-at-turbo-htrac-dac-biet-2025-6825772",8.99e+08,"Original scale",1,"0-3 nam",FALSE,FALSE
"HONDA","HRV","L",2021,"Crossover","Xăng","Automatic","1.8","5","FWD - Dẫn động cầu trước",5.15e+08,52000,"Nhập khẩu","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-honda-hrv-l-2021-6830584",5.15e+08,"Original scale",5,"4-7 nam",FALSE,FALSE
"HYUNDAI","CUSTIN","CAO CẤP T",2023,"Van/Minivan","Xăng","Automatic","2","7","FWD - Dẫn động cầu trước",8.09e+08,36252,"Lắp ráp trong nước","Đen","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-hyundai-custin-cao-cap-2.0t-2023-6834503",8.09e+08,"Original scale",3,"0-3 nam",FALSE,FALSE
"HYUNDAI","SANTAFE","CAO CẤP HTRAC",2022,"SUV","Xăng","Automatic","2.5","7","AWD - 4 bánh toàn thời gian",9.85e+08,38000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-hyundai-santafe-cao-cap-2.5l-htrac-2022-6829262",9.85e+08,"Original scale",4,"4-7 nam",FALSE,FALSE
"HONDA","CIVIC","G",2020,"Sedan","Xăng","Automatic","1.8","5","FWD - Dẫn động cầu trước",5.5e+08,45000,"Nhập khẩu","Trắng","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-honda-civic-g-1.8-at-2020-6834502",5.5e+08,"Original scale",6,"4-7 nam",FALSE,FALSE
"LEXUS","RX","350 F SPORT",2021,"SUV","Xăng","Automatic","3.5","5","AWD - 4 bánh toàn thời gian",3.398e+09,58000,"Nhập khẩu","Xám","TP HCM","05-06-2026","bonbanh.com","https://bonbanh.com/xe-lexus-rx-350-f-sport-2021-6834028",3.398e+09,"Original scale",5,"4-7 nam",TRUE,FALSE
"BMW","7","SERIES 730LI",2018,"Sedan","Xăng","Automatic","2","5","RFD - Dẫn động cầu sau",1.59e+09,110000,"Nhập khẩu","Xanh","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-bmw-7_series-730li-2018-6711770",1.59e+09,"Original scale",8,"8-12 nam",TRUE,TRUE
"BMW","5","SERIES 520I",2018,"Sedan","Xăng","Automatic","1.6","5","RFD - Dẫn động cầu sau",9.79e+08,46000,"Nhập khẩu","Đen","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-bmw-5_series-520i-2018-6784256",9.79e+08,"Original scale",8,"8-12 nam",FALSE,FALSE
"MERCEDES BENZ","GLC","300 4MATIC",2021,"SUV","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",1.499e+09,49000,"Lắp ráp trong nước","Đỏ","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2021-6808427",1.499e+09,"Original scale",5,"4-7 nam",TRUE,FALSE
"LEXUS","RX","300",2021,"SUV","Xăng","Automatic","2","5","AWD - 4 bánh toàn thời gian",2.789e+09,32000,"Nhập khẩu","Cát","Hà Nội","05-06-2026","bonbanh.com","https://bonbanh.com/xe-lexus-rx-300-2021-6783808",2.789e+09,"Original scale",5,"4-7 nam",TRUE,FALSE
