"transmission","so_luong","trung_binh","trung_vi","nho_nhat","lon_nhat","phuong_sai","do_lech_chuan"
"Automatic",4194,1317226275.63186,7.5e+08,7.5e+07,3.3999e+10,2746428020573437952,1657235052.90391
"Manual",261,371003831.417625,3.3e+08,2.8e+07,1.85e+09,60420003831417624,245804808.397675
