"age_group","transmission","so_luong","xac_suat_ket_hop","xac_suat_ket_hop_pct"
"0-3 nam","Automatic",1236,0.277441077441077,"27.74%"
"4-7 nam","Automatic",1726,0.387429854096521,"38.74%"
"8-12 nam","Automatic",895,0.200897867564534,"20.09%"
"Tren 12 nam","Automatic",337,0.075645342312009,"7.56%"
"0-3 nam","Manual",28,0.00628507295173962,"0.63%"
"4-7 nam","Manual",70,0.015712682379349,"1.57%"
"8-12 nam","Manual",94,0.0210998877665544,"2.11%"
"Tren 12 nam","Manual",69,0.0154882154882155,"1.55%"
